[project, merge commit, file, approach, timeStamp]
jenkins,389c5a7e606fefa184959d7722c95c3b976b3375,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/389c5a7e606fefa184959d7722c95c3b976b3375/hudson/PluginManager,SimpleInitializationBlockHandler,6,473 ms
jenkins,d4284565e7a3e6b044f6d6df52288e822af02fc4,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/d4284565e7a3e6b044f6d6df52288e822af02fc4/hudson/ProxyConfiguration,InsertionLevelInitializationBlockHandler,3,292 ms
jenkins,d4284565e7a3e6b044f6d6df52288e822af02fc4,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/d4284565e7a3e6b044f6d6df52288e822af02fc4/hudson/ProxyConfiguration,SimpleInitializationBlockHandler,3,245 ms
jenkins,9801bd961dcde1815ae3a590b769cd7bbef17481,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/9801bd961dcde1815ae3a590b769cd7bbef17481/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,212 ms
jenkins,9801bd961dcde1815ae3a590b769cd7bbef17481,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/9801bd961dcde1815ae3a590b769cd7bbef17481/hudson/util/ProcessTree,SimpleInitializationBlockHandler,5,136 ms
jenkins,e56103203c83279777f740f8719b53bf31af8808,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/e56103203c83279777f740f8719b53bf31af8808/hudson/PluginManager,InsertionLevelInitializationBlockHandler,6,477 ms
jenkins,e56103203c83279777f740f8719b53bf31af8808,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/e56103203c83279777f740f8719b53bf31af8808/hudson/PluginManager,SimpleInitializationBlockHandler,6,193 ms
jenkins,34c88568d330b87e0ed739b385eaaca9271bfecf,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/34c88568d330b87e0ed739b385eaaca9271bfecf/hudson/tools/JDKInstaller,InsertionLevelInitializationBlockHandler,1,499 ms
jenkins,34c88568d330b87e0ed739b385eaaca9271bfecf,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/34c88568d330b87e0ed739b385eaaca9271bfecf/hudson/tools/JDKInstaller,SimpleInitializationBlockHandler,1,483 ms
jenkins,556d6f70369bcd09f1deb60854281ef9093d42fd,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/556d6f70369bcd09f1deb60854281ef9093d42fd/hudson/tools/JDKInstaller,InsertionLevelInitializationBlockHandler,1,491 ms
jenkins,556d6f70369bcd09f1deb60854281ef9093d42fd,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/556d6f70369bcd09f1deb60854281ef9093d42fd/hudson/tools/JDKInstaller,SimpleInitializationBlockHandler,1,501 ms
jenkins,44c4c1cc0c6af30f09b5e391fd72546a848ddc71,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/44c4c1cc0c6af30f09b5e391fd72546a848ddc71/jenkins/model/Jenkins,InsertionLevelInitializationBlockHandler,9,349 ms
jenkins,44c4c1cc0c6af30f09b5e391fd72546a848ddc71,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/44c4c1cc0c6af30f09b5e391fd72546a848ddc71/hudson/model/ComputerSet,InsertionLevelInitializationBlockHandler,3,254 ms
jenkins,44c4c1cc0c6af30f09b5e391fd72546a848ddc71,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/44c4c1cc0c6af30f09b5e391fd72546a848ddc71/hudson/PluginManager,InsertionLevelInitializationBlockHandler,6,349 ms
jenkins,44c4c1cc0c6af30f09b5e391fd72546a848ddc71,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/44c4c1cc0c6af30f09b5e391fd72546a848ddc71/jenkins/model/Jenkins,SimpleInitializationBlockHandler,8,806 ms
jenkins,44c4c1cc0c6af30f09b5e391fd72546a848ddc71,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/44c4c1cc0c6af30f09b5e391fd72546a848ddc71/hudson/model/ComputerSet,SimpleInitializationBlockHandler,3,204 ms
jenkins,44c4c1cc0c6af30f09b5e391fd72546a848ddc71,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/44c4c1cc0c6af30f09b5e391fd72546a848ddc71/hudson/PluginManager,SimpleInitializationBlockHandler,5,997 ms
jenkins,06eb14efe698a9c6941e6b00a1b061b69717a1fb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/06eb14efe698a9c6941e6b00a1b061b69717a1fb/jenkins/model/Jenkins,InsertionLevelInitializationBlockHandler,8,411 ms
jenkins,06eb14efe698a9c6941e6b00a1b061b69717a1fb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/06eb14efe698a9c6941e6b00a1b061b69717a1fb/hudson/PluginManager,InsertionLevelInitializationBlockHandler,5,794 ms
jenkins,06eb14efe698a9c6941e6b00a1b061b69717a1fb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/06eb14efe698a9c6941e6b00a1b061b69717a1fb/jenkins/model/Jenkins,SimpleInitializationBlockHandler,8,396 ms
jenkins,06eb14efe698a9c6941e6b00a1b061b69717a1fb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/06eb14efe698a9c6941e6b00a1b061b69717a1fb/hudson/PluginManager,SimpleInitializationBlockHandler,6,315 ms
jenkins,a18f7432fe8a07aa39e173c89828309e7178666c,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/a18f7432fe8a07aa39e173c89828309e7178666c/hudson/PluginManager,InsertionLevelInitializationBlockHandler,4,963 ms
