project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TConstraintViolationSummary,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TConstraintViolationSummary,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TCMResult,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TCMResult,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TabletSplit,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TabletSplit,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TabletServer,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TabletServer,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TDelegationToken,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TDelegationToken,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,WriterOptions,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,WriterOptions,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ThriftTest,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ThriftTest,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,MultiScanResult,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,MultiScanResult,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,AccumuloProxy,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,AccumuloProxy,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ScanColumn,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ScanColumn,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TKey,1,1,0,true,false,false,true,false,false
